string_field_0,string_field_1,string_field_2,double_field_3,date_field_4
Emi,Castaneda,FD744D,223.36,2020-01-17
Olga,Brewer,UR594R,504.58,2020-01-17
Rita,Abbott,DT673T,898.51,2020-01-17
Rose,Brewer,PB449B,938.58,2020-01-17
Danny,Bean,LV154V,837.27,2020-01-17
Erika,Blankenship,IW903W,135.13,2020-01-17
Marco,Cash,RJ382J,581.41,2020-01-17
Sandy,Carver,HY147Y,109.28,2020-01-17
Wilma,Campos,GV774V,931.34,2020-01-17
Arthur,Browning,CS946S,190.77,2020-01-17
Nicole,Barnes,SH500H,410.97,2020-01-17
Edouard,Butler,RO774O,642.68,2020-01-17
Hermine,Bridges,WN929N,635.72,2020-01-17
Rebekah,Beasley,GF811F,206.41,2020-01-17
Cristobal,Best,XD523D,243.87,2020-01-17
Fay,Casey,GV755V,426.2,2020-01-18
Sam,Byrd,VT299T,854.23,2020-01-18
Bret,Butler,SY605Y,531.29,2020-01-18
Rita,Alford,UZ398Z,911.69,2020-01-18
Beryl,Bullock,RN433N,625.18,2020-01-18
Cindy,Bartlett,AE991E,894.43,2020-01-18
Junko,Carey,SL901L,263.74,2020-01-18
Maria,Albert,GJ843J,826.75,2020-01-18
Kumiko,Anderson,BH860H,948.42,2020-01-18
Sachiko,Blanchard,QE894E,988.89,2020-01-18
Humberto,Andrews,UW861W,835.47,2020-01-18
Cristobal,Atkinson,CR670R,479.65,2020-01-18
Aki,Burke,IC550C,955.67,2020-01-19
Aki,Carter,EA153A,987.13,2020-01-19
Aki,Campos,SL723L,224.99,2020-01-19
Aki,Berger,YK900K,929.12,2020-01-19
Aki,Carrillo,RR282R,814.74,2020-01-19
Aki,Brennan,RP889P,161.77,2020-01-19
Ana,Camacho,DZ996Z,780.97,2020-01-19
Ana,Abbott,MP478P,462.89,2020-01-19
Ana,Castaneda,NA558A,389.76,2020-01-19
Ana,Bruce,GF160F,867.5,2020-01-19
Ana,Beach,CF151F,446.91,2020-01-19
Emi,Caldwell,RK551K,350.8,2020-01-19
Emi,Bowman,BK849K,517.33,2020-01-19
Emi,Ayala,DL230L,138.65,2020-01-19
Emi,Barr,HL452L,980.97,2020-01-19
Fay,Bell,FA400A,862.81,2020-01-19
Lee,Andrews,NP883P,779.26,2020-01-19
Lee,Castaneda,CN276N,926.34,2020-01-19
Lee,Black,CG612G,737.95,2020-01-19
Rie,Bennett,OU773U,443.39,2020-01-19
Rie,Barnes,IO269O,112.25,2020-01-19
Rie,Barr,KT370T,598.61,2020-01-19
Sam,Adkins,BV925V,575.31,2020-01-19
Sam,Ballard,DU277U,554.87,2020-01-19
